id,sura,aya,translation,footnotes
1,1,1,"In the name of Allah, the Most Compassionate, the Most Merciful",
2,1,2,"All praise be to Allah[1], the Lord[2] of the worlds[3],","[1] Allah is God’s most unique name.
 [2] The Arabic term ""rabb"" (translated as ""Lord"") includes all of the following meanings: ""owner, master, ruler, controller, sustainer, provider, guardian and caretaker.""
 [3] ""the worlds"" means mankind, jinn, and all that exists."
3,1,3,"the Most Compassionate, the Most Merciful[4],","[4] Ar-Rahmān and Ar-Raheem are two names of Allah: Rahmān is used only to describe Allah, while raheem might be used to describe a human as well. Rahmān carries a wider meaning - merciful to all creation. Justice is a part of this mercy. Raheem includes the concept of specialty - especially merciful to the believers. Forgiveness is a part of this mercy. In addition, Rahmān is adjectival, referring to an attribute of Allah and is part of His essence. Raheem is verbal, indicating what He does: i.e., bestowing and implementing mercy."
4,1,4,Master[5] of the Day of Judgment.,"[5] Other meanings for ""Mālik"": Sovereign, Owner, etc."
5,1,5,"You alone we worship, and You alone we ask for help.",
6,1,6,"Guide us to the straight path,",
7,1,7,"the path of those whom You have blessed[6]; not of those who incurred Your Wrath[7], or of those who went astray[8].","[6] The way of the Prophets and those who follow them.
 [7] Those who know the Truth and do not follow it, like the Jews.
 [8] Those who are ignorant of the Truth and follow misguidance, like the Christians."
8,2,1,Alif Lām Mīm[1].,[1] Allah knows the meaning of these disjointed Arabic letters. This bears testimony to the inimitable nature of the Qur’an and its divine source.
9,2,2,"This is the Book about which there is no doubt, a guidance for the righteous[2],","[2] Literally, ""those who have taqwā,"" i.e., who have piety, righteousness, fear and love of Allah, and who take great care of avoiding His displeasure."
10,2,3,"those who believe in the unseen, establish prayer[3], and spend out of what We[4] have provided for them,","[3] At its proper times and fulfill its all conditions. [4] ""We"" in reference to Allah in the Qur’anic verses is necessarily understood to denote grandeur and power."
11,2,4,"and those who believe in what has been sent down to you [O Prophet] and in what was sent down before you[5], and in the Hereafter they believe with certainty.","[5] i.e., the Taurāt (Torah) and the Injīl (Gospel), etc."
12,2,5,"It is they who are upon guidance from their Lord, and it is they who are successful.",
13,2,6,"Those who persist in disbelief, it is the same whether you warn them or not, they will not believe.",
14,2,7,"Allah has sealed their hearts and their hearing, and their sight is covered[6]; and for them there will be a great punishment.","[6] A covering preventing from discerning guidance, as a result of their arrogance and persistence in sin."
15,2,8,"There are some people[7] who say, “We believe in Allah and the Last Day,” whereas they are not believers.","[7] i.e., the hypocrites."
16,2,9,"They seek to deceive Allah and those who believe, while they deceive none but themselves, but they do not realize.",
17,2,10,"In their hearts is a sickness[8], and Allah increased their sickness, and they will have a painful punishment for their persistent lying.","[8] The ""sickness"" mentioned here includes doubt, hypocrisy, arrogance and disbelief."
18,2,11,"When it is said to them, “Do not spread corruption in the land,” they say, “We are only reformers.”",
19,2,12,"Indeed, it is they who spread corruption, but they do not realize it.",
20,2,13,"When it is said to them, “Believe as the people have believed,” they say, “Shall we believe as the fools[9] have believed?” Indeed, it is they who are the fools, but they do not know.","[9] The hypocrites were considering the Companions of the Prophet (ﷺ) to be fools, whereas they themselves were fools."
21,2,14,"When they meet those who believe, they say, “We believe.” But when they are alone with their evil ones[10], they say, “We are certainly with you; we were only mocking.”","[10] i.e., their leaders in evil and disbelief."
22,2,15,Allah will mock them[11] and prolong them to wander blindly in their transgression.,[11] Allah mocks them in response to their mocking Muslims.
23,2,16,"They are those who purchased misguidance for guidance, but their trade was profitless, and they were not guided.",
24,2,17,"Their likeness is that of someone who kindles a fire. When it illuminates all around him, Allah takes away their light, leaving them in utter darkness, unable to see[12].","[12] This is the situation of the hypocrites in the darkness of doubt and disbelief, not seeing the truth and guidance."
25,2,18,"Deaf, dumb, and blind; they will not return [to the straight path].",
26,2,19,"Or like a downpour from the sky accompanied by darkness, thunder, and lightning. They put their fingers into their ears out of thunderclaps, for fear of death. But Allah encompasses the disbelievers.",
27,2,20,"The lightning almost snatches away their eyesight. Every time lightning[13] strikes, they walk in its light, but when it becomes dark, they stand still. If Allah had willed, He would have taken away their hearing and their sight; for Allah is Most Capable of all things.",[13] The parable of lightning is that of the light of the Qur’an.
28,2,21,"O people, worship your Lord, Who created you and those before you, so that you may become righteous;",
29,2,22,"He Who made the earth a resting place for you, and the sky a canopy; and sends down rain from the sky, and brings forth fruits thereby as a provision for you. So do not set up rivals to Allah while you know[14].","[14] Do not set up rivals to Allah (in worship), Who has provided you with all these things, and you know that He alone is worthy of worship."
30,2,23,"If you are in doubt concerning that which We have sent down upon Our slave[15], then produce a chapter like it and call upon your helpers other than Allah, if you are truthful.",[15] “Our servant” is referring to Muhammad (ﷺ).
31,2,24,"But if you did not do it, and you can never do it; then beware of the Fire whose fuel will be people and stones, which is prepared for the disbelievers.",
32,2,25,"And give glad tidings to those who believe and do righteous deeds that they will have gardens under which rivers flow. Every time they are provided with a provision of fruit therefrom, they will say, “This is what we were provided with before,” for they will be given fruit that resemble one another. They will have purified spouses, and they will abide therein forever.",
33,2,26,"Allah is not ashamed to give a similitude of a mosquito or even something less [significant][16]. As for those who believe, they know that this is the truth from their Lord; but those who disbelieve say, “What does Allah mean by this similitude?” He causes many to go astray thereby and guides many thereby, but He causes none to go astray except the evildoers –","[16] Lit., ""above it"" i.e., greater in smallness."
34,2,27,"those who break the covenant of Allah after it has been ratified, sever bonds that Allah has commanded to be maintained[17], and spread corruption in the land. It is they who are the losers.",[17] By keeping good relations with kith and kin.
35,2,28,"How can you disbelieve in Allah, when you were lifeless then He gave you life, then He will cause you to die, then He will bring you back to life again, then to Him you will be returned?",
36,2,29,"It is He Who created for you all that is in the earth, then He turned towards the heaven and made them seven heavens, and He is All-Knowing of everything.",
37,2,30,"And [remember] when your Lord said to the angels, “I am going to appoint a vicegerent on earth.” They said, “Will You appoint on it someone who will spread corruption therein and shed blood, while we glorify You with Your praises and proclaim Your holiness?” He said, “I know that which you do not know.”",
38,2,31,"And He taught Adam the names of everything; then He presented them to the angels, and said, “Tell Me the names of these, if what you say is true?”",
39,2,32,"They said, “Glory be to You! We have no knowledge except what You have taught us. Indeed, it is You Who are the All-Knowing, the All-Wise.”",
40,2,33,"He said, “O Adam, inform them of their names.” When he informed them of their names, Allah said, “Did I not tell you that I know the unseen of the heavens and earth, and I know what you reveal and what you conceal?”",
41,2,34,"And when We said to the angels, “Prostrate before Adam[18],” and they prostrated except Iblīs[19]; he refused and was arrogant, and was one of the disbelievers.","[18] This prostration was done in obedience to Allah, out of respect, not worship.
 [19] The proper name of Satan, who was not an angel, but from the jinn."
42,2,35,"We said, “O Adam, dwell in Paradise, you and your wife; and eat pleasantly from wherever you wish, but do not approach this tree, or else you will both become the wrongdoers.”",
43,2,36,"Then Satan tempted them and drove them out of the state they were in, and We said, “Go down [to the earth], as enemies to one another. You will have abode on earth and provision for an appointed time[20].”",[20] Until the Day of Judgment.
44,2,37,"Then Adam received some words[21] from his Lord, and He accepted his repentance. He is the Accepter of repentance, the Most Merciful.","[21] These words, or supplications are: “They [both] said: “Our Lord, we have wronged ourselves, and if You do not forgive us and have mercy upon us, we will surely be among the losers.” See 7:23."
45,2,38,"We said, “Go down all of you from here[22]! Then when My guidance comes to you; whoever follows My guidance, will have no fear, nor will they grieve.","[22] The addressees were Adam, Eve and Satan."
46,2,39,"But those who disbelieve and reject Our signs, they are the people of the Fire; they will abide therein forever.”",
47,2,40,"O Children of Israel[23], remember My favor that I bestowed upon you, and fulfill My covenant; I will fulfill your covenant[24], and fear none but Me.","[23] Israel is Prophet Jacob (عليه السلام). The use of the epithet ‘Children of Israel’ for the Israelites is to remind them to follow their ancestor from whom they are descended.
 [24] This mutual pledge is as follows: If the Children of Israel keep up the prayer, give zakah, believe in and support the prophets, and spend in the cause of Allah, Allah will, in return, expiate their sins and admit them to the Gardens under which rivers flow, i.e., Paradise."
48,2,41,"And believe in what I have sent down[25] which confirms that [Scripture] which is with you, and do not be the first to disbelieve in it, nor trade my verses for a small price, and fear Me alone.","[25] i.e., the prophethood of Prophet Muhammad (ﷺ), which is mentioned in the Torah."
49,2,42,"And do not mix the truth with falsehood, nor conceal the truth knowingly[26].",[26] The prophethood of Prophet Muhammad (ﷺ).
50,2,43,"And establish prayer, give zakah, and bow [to Allah] with those who bow[27].","[27] This command is to the Children of Israel to bow down in obedience to Allah with Muhammad, as the Muslims do, i.e., embrace Islam."
51,2,44,"Do you enjoin righteousness upon people while you forget yourselves, even though you recite the Scripture[28]? Do you not understand?","[28] i.e., the Torah."
52,2,45,"Seek help through patience and prayer. It is strenuous except for the humble,",
53,2,46,"those who are sure that they are going to meet their Lord, and that they will return to Him.",
54,2,47,"O Children of Israel, remember My blessing which I bestowed upon you and that I favored you over all other people[29].","[29] In their time, Allah favored them with certain privileges over other people such as sending them prophets and divine Books, and giving them kingship."
55,2,48,"And fear a Day when no soul will avail another anything, nor intercession will be accepted, nor compensation taken, nor will they be helped.",
56,2,49,"And [remember] when We saved you from Pharaoh’s people, who were inflicting dreadful torment upon you: slaughtering your sons and sparing your women. That was a great trial from your Lord.",
57,2,50,"And [remember] when We parted the sea for you and saved you, while We drowned the people of Pharaoh while you were looking on.",
58,2,51,"And [remember] when We appointed for Moses forty nights. Then you took the calf [for worship] in his absence, while you were wrongdoers.",
59,2,52,"Yet We pardoned you after that, so that you may be grateful.",
60,2,53,"And [remember] when We gave Moses the Scripture and the criterion[30], so that you may be guided.","[30] Differentiating between truth and falsehood. ""The Scripture and the criterion"" refers to the Torah."
61,2,54,"And [remember] when Moses said to his people, “O my people, you have wronged yourselves by taking the calf [for worship]. So repent to your Creator and kill yourselves [i.e., the guilty among you]; that is best for you with your Creator.” Then He accepted your repentance, for He is the Accepter of Repentance, the Most Merciful.",
62,2,55,"And [remember] when you said, “O Moses, we will never believe you until we see Allah openly,” so a thunderbolt struck you while you were looking on.",
63,2,56,"Then We raised you back to life after your death, so that you may be grateful.",
64,2,57,"And We shaded you with clouds and sent down to you manna and quails[31], [saying], “Eat of the good things We have provided for you.” They did not wrong Us, but they wronged themselves.","[31] They both have linguistic roots in Arabic; ""al-mann"" means that which is God-given without effort, while ""al-salwā"" means that in which one finds consolation and comfort."
65,2,58,"And [remember] when We said, “Enter this town [of Jerusalem] and eat freely from wherever you wish, and enter the gate bowing down humbly and say, ‘Absolve us[32].’ We will forgive you your sins and increase [the reward of] those who do good.”",[32] In gratitude to Allah and admission of sin.
66,2,59,But the wrongdoers changed the words to other than what they were told[33]; so We sent down upon the wrongdoers a torment from the heaven for their rebelliousness.,"[33] They were asked to seek forgiveness. The word is hittah, which means: to put down a burden, but they twisted their tongues to mean ‘barley’, hintah."
67,2,60,"And [remember] when Moses asked for water for his people, and We said, “Strike the rock with your staff,” Then twelve springs gushed forth from it; each tribe knew its drinking place[34]. “Eat and drink from Allah’s provision, and do not spread corruption in the land.”","[34] The twelve tribes of the Children of Israel, who are called ""Asbāt""."
68,2,61,"And [remember] when you said, “O Moses, we cannot bear the same meal. So call upon your Lord to bring forth for us from what the earth produces – its herbs, cucumbers, garlic, lentils, and onions.” Moses said, “Would you exchange what is better for what is inferior? Go down to any town and you will have what you have asked for.” They were struck with humiliation and destitution, and incurred the wrath of Allah. That was because they used to reject the signs of Allah and kill the prophets unjustly. That was because they disobeyed and were transgressors.",
69,2,62,"The believers and those who were Jews, Christians, and the Sabians [before Prophet Muhammad] – whoever believed in Allah and the Last Day and did righteous deed, they will have their reward with their Lord, and they will have no fear, nor will they grieve.",
70,2,63,"And [remember] when We took your covenant [O Children of Israel] and raised above you the mountain [saying], “Hold firmly to what We have given you and observe its teachings, so that you may become righteous.”",
71,2,64,"But then you turned away after that. If it had not been for the grace and mercy of Allah upon you, you would have surely been among the losers.",
72,2,65,"And you know about those among you who broke the Sabbath, whereupon We said to them, “Be apes, despised.”",
73,2,66,"So We made it a deterrent punishment for those alive and for those who succeeded them, and an admonition for the righteous.",
74,2,67,"And [remember] when Moses said to his people, “Allah commands you to slaughter a cow.” They said, “Are you mocking us?” Moses said, “I seek refuge in Allah from being among the ignorant!”",
75,2,68,"They said, “Call upon your Lord to make clear to us what [type of cow] it is.” He said, “Allah says, ‘It is a cow that is neither too old nor too young, but somewhere in between. So do as you are commanded!’”",
76,2,69,"They said, “Call upon your Lord to show us its color.” He said, “Allah says, ‘It is a yellow cow, bright in color – pleasing to the beholders.’”",
77,2,70,"They again said, “Call upon your Lord to make clear to us what it is. All cows look alike to us. If Allah wills, we will surely be guided.”",
78,2,71,"He said, “Allah says, ‘It is a cow neither trained to plow the earth nor water the field; sound, without blemish.’” They said, “Now you have come with the truth.” Then they slaughtered it, although they were almost not doing it.",
79,2,72,"And [remember] when you [Israelites] slew a man and disputed as to who the killer was, but Allah exposed what you were concealing.",
80,2,73,"We said, “Strike the slain with a piece of it.” This is how Allah brings the dead to life and shows you His signs, so that you may understand.",
81,2,74,"Then your hearts became hardened after that, like rocks or even harder. There are rocks from which rivers gush forth, and there are others that split open from which water comes out, while others fall down out of humility to Allah. And Allah is not unaware of what you do.",
82,2,75,"Do you [O believers] hope that they would respond to your call to believe, while a party of them used to hear the word of Allah[35] then distort it knowingly after understanding it?","[35] i.e., the Torah."
83,2,76,"And when they meet the believers they say, “We believe.” But when they[36] meet one another in private they say, “Are you telling them what Allah has revealed to you [about Mohammad], so that they may argue against you before your Lord? Have you no sense?”","[36] i.e., the Jews."
84,2,77,Do they not know that Allah knows what they conceal and what they reveal?,
85,2,78,"And among them, there are illiterate people, who know nothing of the Scripture except wishful thinking, and they do nothing but guesswork.",
86,2,79,"So woe to those who write the Scripture with their own hands, and then say, “This is from Allah,” in order to trade it for a small price. Woe to them for what their hands have written, and woe to them for what they earn.",
87,2,80,"And they say, “The Fire will never touch us except for a few days.” Say, “Have you taken a covenant from Allah; for Allah will never break His covenant, or are you saying about Allah what you do not know?”",
88,2,81,No indeed! Those who do evil and are surrounded by their sins – they are the people of the Fire; they will abide therein forever.,
89,2,82,But those who believe and do righteous deeds – they are the people of Paradise; they will abide therein forever.,
90,2,83,"And [remember] when We took a covenant from the Children of Israel, “Do not worship except Allah; be kind to parents and kindred, and to orphans and those in need; speak good words to people; establish prayer; and give Zakah.” But then you turned away paying no heed, except a few of you.",
91,2,84,"And [remember] when We took a covenant from you that you should neither shed blood of one another, nor expel one another from your homes. Then you acknowledged it, while bearing and you bear witness to it.",
