نص الآية,اسم السورة انجليزي,اسم السورة عربي,رسم الآية,رقم الآية,رقم الجزء,رقم السورة,رقم الصفحة
بسم الله الرحمن الرحيم,Al-Fātiḥah,الفَاتِحة,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ١,1,1,1,1
الحمد لله رب العالمين,Al-Fātiḥah,الفَاتِحة,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ٢ ,2,1,1,1
الرحمن الرحيم,Al-Fātiḥah,الفَاتِحة,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ٣,3,1,1,1
مالك يوم الدين,Al-Fātiḥah,الفَاتِحة,مَٰلِكِ يَوۡمِ ٱلدِّينِ ٤ ,4,1,1,1
إياك نعبد وإياك نستعين,Al-Fātiḥah,الفَاتِحة,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ ٥,5,1,1,1
اهدنا الصراط المستقيم,Al-Fātiḥah,الفَاتِحة,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ ٦,6,1,1,1
صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,Al-Fātiḥah,الفَاتِحة,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ ٧,7,1,1,1
الم,Al-Baqarah,البَقَرَة,الٓمٓ ١,1,1,2,2
ذلك الكتاب لا ريب فيه هدى للمتقين,Al-Baqarah,البَقَرَة,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ ٢,2,1,2,2
الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,Al-Baqarah,البَقَرَة,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ ٣,3,1,2,2
والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,Al-Baqarah,البَقَرَة,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ ٤ ,4,1,2,2
أولئك على هدى من ربهم وأولئك هم المفلحون,Al-Baqarah,البَقَرَة,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ ٥ ,5,1,2,2
